ID	YEAR	RA	MRW	MINRW	MAXRW	MRADDIST	CNO	CD	CTA	RCTA	MLA	MINLA	MAXLA	KH	KS	RVGI	RVSF	RGSGV	AOIAR	RAOIAR	CWTPI	CWTBA	CWTLE	CWTRI	CWTTAN	CWTRAD	CWTALL	RTSR	CTSR	DH	DH2	DRAD	DTAN	TB2	CWA	RWD
YAM_2756_1_1	1967	1.096	500	415	572	500	1104	1007.33	0.424	38.66	384	8	2313	1.3706E-08	0.012506	NA	NA	NA	NA	NA	4.74	4.68	5.19	5.15	4.66	5.16	4.92	2.10	1.80	38.58	26.49	20.55	18.15	0.6553	417	0.668
YAM_2756_1_1	1968	1.185	536	497	567	1036	1048	884.31	0.623	52.59	595	8	1940	1.96407E-08	0.016573	NA	NA	NA	NA	NA	3.23	3.18	3.63	3.63	3.19	3.59	3.39	0.87	0.78	36.30	29.37	28.75	23.53	0.1153	396	0.500
YAM_2756_1_1	1969	1.482	669	649	698	1708	1256	847.59	0.850	57.33	676	7	2519	3.04708E-08	0.020563	NA	NA	NA	NA	NA	3.20	3.17	3.50	3.57	3.17	3.53	3.35	0.99	0.85	38.72	31.29	32.75	22.90	0.1608	388	0.467
YAM_2756_1_1	1970	0.721	325	306	353	2034	654	907.37	0.401	55.63	613	11	2117	1.3944E-08	0.019346	NA	NA	NA	NA	NA	2.79	2.74	3.17	3.19	2.76	3.17	2.96	0.91	0.70	38.21	30.39	28.59	24.56	0.0676	337	0.444
YAM_2756_1_1	1971	0.666	301	272	326	2336	587	881.18	0.370	55.47	630	9	2016	1.34709E-08	0.020222	NA	NA	NA	NA	NA	3.04	3.06	3.58	3.61	3.05	3.64	3.35	1.51	0.98	38.62	30.93	28.77	24.39	0.3705	360	0.434
YAM_2756_1_1	1972	1.147	519	486	574	2857	893	778.31	0.625	54.49	700	6	2289	2.38241E-08	0.020764	NA	NA	NA	NA	NA	3.47	3.44	3.99	3.94	3.46	3.96	3.72	1.33	1.02	39.42	32.04	31.95	23.81	0.1800	430	0.465
YAM_2756_1_1	1973	0.763	345	326	367	3203	778	1020.16	0.381	49.94	490	7	1755	1.28561E-08	0.016858	NA	NA	NA	NA	NA	3.46	3.42	3.96	3.95	3.40	3.97	3.68	1.89	1.25	37.42	28.51	23.43	22.06	0.2291	352	0.570
YAM_2756_1_1	1974	1.147	520	498	555	3723	876	763.98	0.625	54.54	714	6	2073	2.46244E-08	0.021475	NA	NA	NA	NA	NA	3.55	3.61	4.03	3.98	3.60	4.04	3.83	1.39	1.08	39.50	32.56	31.79	24.43	0.2974	452	0.438
YAM_2756_1_1	1975	0.757	343	319	395	4067	697	920.41	0.335	44.24	481	12	2807	1.04411E-08	0.013788	NA	NA	NA	NA	NA	3.67	3.61	4.39	4.48	3.61	4.41	4.02	1.24	1.07	36.86	27.86	23.45	22.92	0.1876	415	0.546
YAM_2756_1_1	1976	1.972	894	858	935	4962	1257	637.38	1.005	50.96	799	6	2400	4.1832E-08	0.021212	NA	NA	NA	NA	NA	3.76	3.84	3.98	4.06	3.93	4.08	4.13	1.44	1.19	40.68	33.90	35.11	24.32	0.5337	530	0.371
YAM_2756_1_1	1977	1.197	543	526	572	5504	939	784.34	0.589	49.24	628	5	2885	2.22494E-08	0.018585	NA	NA	NA	NA	NA	3.71	3.74	4.37	4.36	3.73	4.42	4.09	1.59	1.29	39.43	31.16	28.62	22.83	0.3587	462	0.476
YAM_2756_1_1	1978	1.634	740	719	786	6247	1085	664.06	0.881	53.89	812	6	2506	3.49545E-08	0.021393	NA	NA	NA	NA	NA	3.25	3.26	3.75	3.78	3.27	3.81	3.55	1.16	0.93	40.45	33.48	36.82	24.21	0.1825	472	0.413
YAM_2756_1_1	1979	1.287	583	532	626	6833	905	703.05	0.594	46.17	657	6	2212	2.21535E-08	0.017210	NA	NA	NA	NA	NA	3.14	3.18	3.72	3.72	3.24	3.79	3.56	1.27	1.04	38.66	31.47	29.75	23.75	0.3357	419	0.385
